요일,제목,작가,장르,평점,연령등급,태그
WEDNESDAY,자기 자?,혜룡 / 영영,개그,9.72752,18세 이용가,"['개그', '2024 연재직행열차', '일상개그힐링', '결혼생활', '연애/결혼공감', '개그', '계략녀', '로맨스코미디', '성인웹툰']"
WEDNESDAY,전지적 독자 시점,UMI / 슬리피-C / 싱숑,판타지,9.94772,15세 이용가,"['판타지', '레드아이스 스튜디오', '게임', '세계관', '아포칼립스', '게임판타지', '헌터물', '이능력배틀물', '먼치킨', '구원서사', '소설원작']"
WEDNESDAY,종말이 찾아왔다,전선욱,판타지,9.72037,15세 이용가,"['판타지', '액션아포칼립스', '생존', '스릴러', '환골탈태', '아포칼립스', '힘숨찐', '좀비']"
WEDNESDAY,강제소집,남자의 이야기 / GArt,스릴러,8.77136,18세 이용가,"['스릴러', '고자극스릴러', '자극적인', '생존', '데스게임', '액션', '피카레스크', '서바이벌', '밀리터리', '성인웹툰']"
WEDNESDAY,"울어 봐, 빌어도 좋고",반지 / 솔체,순정,9.94211,18세 이용가,"['로맨스', '후회물', '고자극로맨스', '혐관로맨스', '삼각관계', '로판', '까칠남', '소설원작', '성인웹툰']"
WEDNESDAY,운명을 보는 회사원,영완(映完) / 임성욱,판타지,9.94635,전체연령가,"['판타지', '현대판타지', '현대', '오피스', '이능력', '직업드라마', '오컬트', '두뇌싸움', '소설원작']"
WEDNESDAY,쌉초의 난,쌉초,일상,9.97679,12세 이용가,"['일상', '일상개그힐링', '가벼운', '개그', '무해한', '햇살캐', '힐링', '4차원', '하이퍼리얼리즘', '동물', '걸크러시', '공감성수치']"
WEDNESDAY,일렉시드,손제호 / 제나,액션,9.84723,12세 이용가,"['액션', '이능력', '배틀', '아카데미물', '세계관', '학원물', '이능력배틀물', '인외존재', '성장드라마', '동물', '먼치킨']"
WEDNESDAY,별을 품은 소드마스터,홍대의 / 주노 / Q10,판타지,9.97429,15세 이용가,"['판타지', '중세판타지액션', '시리어스', '서양', '소년물', '용사', '액션', '성장물', '소년왕도물', '소설원작']"
WEDNESDAY,사천당가의 검신급 소가주가 되었다,PSG / 김종섭 / 화계,무협,9.89177,15세 이용가,"['무협/사극', '사이다', '소년물', '환생', '액션', '성장물', '고인물', '판무', '복수극', '먼치킨', '소설원작']"
WEDNESDAY,썰:관계주의,이삼 / 장버들,순정,9.92613,18세 이용가,"['로맨스', '고자극드라마', '나쁜남자', '하이퍼리얼리즘', '사내연애', '성인웹툰']"
WEDNESDAY,백XX,"박만사, 병장 / 펀치킥",액션,9.84818,15세 이용가,"['액션', '자극적인', '시리어스', '가족', '지금추천작', '범죄', '복수극', '먼치킨', '느와르']"
WEDNESDAY,천마는 조용히 살고싶다,기제마 / 슬우 / 김강현,무협,9.91067,15세 이용가,"['무협/사극', '동양', '환생', '무협/사극', '고인물', '동양풍판타지', '빙의', '소설원작']"
WEDNESDAY,성스러운 작가생활,이작가야,순정,9.95561,18세 이용가,"['로맨스', '요즘핫한추천작', '로맨스코미디', '직업드라마', '전남친', '까칠남', '성인웹툰']"
WEDNESDAY,미연,서녜,순정,9.97789,15세 이용가,"['로맨스', '감성적인', '소심녀', '로맨스', '타임슬립']"
WEDNESDAY,왕따가 격투기를 너무 잘함,"박만사, 김꿀빨 / 김꿀빨 / 아몬드빵",액션,9.81806,15세 이용가,"['액션', '사이다', '현대판타지', '현대', '상태창', '스포츠', '인생역전', '참교육', '성장물', '환골탈태', '격투기', '복수극', '빙의', '소설원작']"
WEDNESDAY,어느 마법사의 식당,차씨 / 스튜디오이너스 / 배드보이즈,판타지,9.96042,15세 이용가,"['판타지', '마법', '요즘핫한추천작', '힐링', '차원이동', '게임판타지', '힘숨찐', '이세계', '음식&요리', '소설원작']"
WEDNESDAY,무림서부,임팩 / 정한길 / 컵라면.,무협,9.94744,15세 이용가,"['무협/사극', '세계관', '힘숨찐', '판무', '소설원작']"
WEDNESDAY,베이비 폭군,정난 / 아원 / 이흰,순정,9.97435,전체연령가,"['로맨스', '성장로판', '서양', '환생', '왕족/귀족', '가벼운', '개그', '성장물', '러블리', '힐링', '육아물', '로판', '소설원작']"
WEDNESDAY,중간에서 만나,조흰 / 윤김,순정,9.95276,15세 이용가,"['로맨스', '리얼로맨스', '미친작화', '햇살캐', '폭스남', '로맨스코미디', '청춘로맨스', '연상연하', '걸크러시']"
WEDNESDAY,나쁜사람,둠스,액션,9.70296,15세 이용가,"['액션', '사이다', '학원액션', '참교육', '가벼운', '개그', '격투기', '학원로맨스', '학원물', '느와르']"
WEDNESDAY,마음의소리(였던 것),조석,개그,9.95658,전체연령가,"['개그', '열혈병맛개그', '공감', '병맛', '가벼운', '개그', '요즘핫한추천작', '지금추천작', '4차원']"
WEDNESDAY,어린이집 다니는 구나,구나,일상,9.97624,전체연령가,"['일상', '공감', '무해한', '러블리', '힐링', '직업드라마', '육아물', '하이퍼리얼리즘']"
WEDNESDAY,흑사,안경알,무협,9.9615,15세 이용가,"['무협/사극', '정통무협', '시리어스', '동양', '시대물', '액션', '복수극', '먼치킨', '걸크러시']"
WEDNESDAY,당골,남승우 / 김교,스릴러,9.94636,15세 이용가,"['스릴러', '동양', '미스터리', '스릴러', '공포', '오컬트', '빙의', '사이비종교']"
WEDNESDAY,밥먹고가라,김해마 / DUBU / 고두열,판타지,9.90278,15세 이용가,"['판타지', '액션판타지', '이능력', '크리처', '이세계요리', '고인물', '인외존재', '동물', '먼치킨', '소설원작']"
WEDNESDAY,명품관의 진상,소리쳐,드라마,9.96786,12세 이용가,"['드라마', '2024 연재직행열차', '드라마', '직업드라마', '하이퍼리얼리즘', '성장드라마', '동물']"
WEDNESDAY,건곤불이기,박만사/노경찬 / 형1978 / 임준욱,무협,9.90824,15세 이용가,"['무협/사극', '정통무협', '시리어스', '동양', '모험', '액션', '성장물', '소설원작']"
WEDNESDAY,이기적 연애론,교교박,순정,9.93668,12세 이용가,"['로맨스', '리얼로맨스', '감성적인', '청춘', '무심남', '계약연애', '전남친', '청춘로맨스', '오피스로맨스', '까칠남']"
WEDNESDAY,천재는 평범하게 살기로 했더,비단가리비 / 아티 / 자손e,드라마,9.95532,12세 이용가,"['드라마', '감성적인', '과거', '가족', '무해한', '타임슬립', '힐링', '회귀', '소설원작']"
WEDNESDAY,강철을 먹는 플레이어,감독9 / 지점장,액션,9.80123,15세 이용가,"['액션', '현대판타지', '상태창', '크리처', '고인물', '밀리터리', '게임판타지', '회귀', '힘숨찐', '헌터물', '이능력배틀물', '인외존재', '소설원작']"
